分类,状态量,状态描述,诊断分析,检修决策,报告名称
变压器,nan,故障,"['由于试验数据超标严重', '起初怀疑可能测试设备存在误差', '在2013年1月11日进行复测', '，与首次测试数据基本吻合', '与首次测试数据基本吻合', '排除了仪器存在问题的可能性由于数据与前一日相比略有上升', '，变压器存在铁芯接地的现象', '变压器存在铁芯接地的现象', '，且有发展的趋势为排除变压器内部接地的可能性', '且有发展的趋势为排除变压器内部接地的可能性', '立刻安排取样进行油色谱检测', '，数据正常在秣陵站变压器铁芯电流检测中', '数据正常在秣陵站变压器铁芯电流检测中', '首次试验数据为3.25A', '大大超出了≤100mA的标准范围由于试验数据超标严重', '首先怀疑存在测试设备误差的可能性', '于是在2013年1月11日进行复测', '，与首次测试数据基本吻合', '与首次测试数据基本吻合', '排除了仪器故障的可能性在外部接地点的寻找中', '有具备变压器检修丰富经验的技术人员到现场进一步勘察', '发现在主变油箱中部和下部分别与铁芯接地排都有牢固的金属电路连接', '中的连接点1和4（连接点1实际情况如图2所示', '连接点4实际情况如图3所示）', '，公司通知久隆变修分公司专业技术人员到现场进一步勘察', '公司通知久隆变修分公司专业技术人员到现场进一步勘察', '技术人员在实地勘察过程中', '发现在1号主变油箱中部和下部分别与铁芯接地排都有牢固的金属电路连接', '']","('需停电处理', 'B类修检', ['安排取样进行油色谱检测', '基本排除了内部接地的可能性根据试验结果', '说明3.3A的电流是由于环流产生的当在检修中消除其中一点的金属连接后', '当发现变压器铁芯电流检测数据异常时'])",124-上海-铁芯接地电流检测发现35kV秣陵站主变多点接地
变压器,nan,故障,"['经查为接地电流引下线有两点接地发现铁心接地电流超过注意值后', '，变电修试二组对铁心引下线的不同部位进行测量并更换了仪器', '变电修试二组对铁心引下线的不同部位进行测量并更换了仪器', '在距离地面0.3米和距离地面2米左右分别进行了测量', '数值为1212mA和1215mA', '在排除了仪器和设备的干扰因素', '确认鲁汇站2号主变铁心接地电流超注意值', '需引起重视现场的检测工作要认真细致', '要留意细微的异常情况', '，要敢于坚持观点', '，鉴于鲁汇站2号主变的情况', '鉴于鲁汇站2号主变的情况', '我市南公司利用2013年迎峰度夏期间对区域划分后的设备进行了一次变压器铁心接地电流带电检测普查', '发现了类似超注意值情况主变共5台', '主要情况见下表分析评价依据为Q/GDW168-2008《输变电设备状态检修试验规程》进行该规程的""5.1.2.10铁心接地电流测量""规定""在运行条件下测量流经接地线的电流', '大于100mA时应予注意', '，结合原停电计划', '，变电修试一组对鲁汇站二号主变接地引下排多出的接地点加装了绝缘支持瓷瓶', '变电修试一组对鲁汇站二号主变接地引下排多出的接地点加装了绝缘支持瓷瓶', '10月19日带电测得数据为7.6mA经观测', '该主变铁心接地电流引下线有两点接地', '一点是2号主变顶盖上直接接地', '另一点是引下排在中间段接地', '具体见下图10月18日', '，变电修试一组对鲁汇站二号主变检修时在接地引下排多出的接地点加装了绝缘支持瓷瓶', '变电修试一组对鲁汇站二号主变检修时在接地引下排多出的接地点加装了绝缘支持瓷瓶', '10月19日带电测得数据为7.6mA2号号主变铁芯、夹件直接接地在顶盖、故无法测量']","('需停电处理', 'B类修检', ['但不排除本体内部铁心多点接地', '从而排除了变压器本体铁心内部多点接地的可能建议取消在顶盖和引下排之间的接地螺丝', '并用绝缘体将接地排与变压器固定）。从而排除了变压器本体铁心内部多点接地的可能'])",125-上海-铁心接地电流带电检测发现35kV鲁汇站2号主变铁心多点接地
变压器,本体,本体故障,['运维检修部变电运维班于2013年5月6日对该变压器外部各接头、各侧套管、本体、油枕、散热片等重要部位进行了红外热成像检测参考《电气设备红外典型图谱》的相关标准及定义'],"('需停电处理', 'B类修检', ['红外热成像检测能够发现主变散热器的运行状况', '指导及时进行消缺新投变压器的验收需专人检查核对蝶阀情况', '留档备案。运行中的变压器应加强巡视'])",126-上海-红外热像检测发现110kV夏阳站主变散热器不通畅
变压器,套管,红外测温异常,"['采用P630型红外测温仪进行检测时', '发现该套管存在上下部温度不均匀现象']","('需停电处理', 'B类修检', ['现场的检测工作要认真细致', '离不开检修公司的协作', '套管漏油部分已委托检修公司进行排查'])",127-上海-红外热成像检测发现110kV河南站主变套管缺油
变压器,nan,故障,"['经铁心、夹件接地电流、带电局部放电、红外测温检测及油中溶解气体情况跟踪情况综合分析', '判断该主变异常由铁心多点接地引起', '主变内部绝缘正常由于发现异常时供电负荷较高', '，考虑异常仅由铁心多点接地造成', '考虑异常仅由铁心多点接地造成', '短时间内不会影响主变运行安全', '决定在铁心接地回路上串联一200Ω限流滑线电阻', '串联电阻后铁心接地电流、油色谱在线监测数据恢复正常接到报警信号后', '省检修公司对#2主变进了带电局放检测、铁芯、夹件接地电流测量及红外测温等带电检测项目', '其中铁芯接地电流为83mA', '较上次测量值有所增加；带电局放测试幅值约为9mV', '与2012年10月21日检测波形相似', '，结果正常；夹件接地电流及红外测温也未检测到异常信号综合色谱情况及带电检测数据显示', '结果正常；夹件接地电流及红外测温也未检测到异常信号综合色谱情况及带电检测数据显示', '该主变主、纵绝缘无异常', '铁心接地电流较之前有增大趋势', '且油色谱数据显示内部存在高温过热缺陷', '初步判断该主变油色谱数据异常原因为铁芯多点接地引起', '主变主、纵绝缘应无异常处理后主变铁心电流降为约50mA', '，可判断发热故障已消除', '可判断发热故障已消除', '，待负荷减少时再停电检修', '待负荷减少时再停电检修']","('需停电处理', 'B类修检', ['等负荷减小时再吊罩的处理措施', '不要盲目停电进行试验或检修', '应根据色谱变化状况并结合其他带电检测手段综合分析', '判断异常原因后再进行处理'])",128-湖南-油中溶解气体在线监测发现变压器铁芯多点接地
变压器,nan,故障,[],"('需停电处理', 'B类修检', [])",129-湖南-红外热像检测发现220kV变压器套管内漏
变压器,在线监测装置,在线监测装置故障,['随即加强油色谱在线监测和离线跟踪检测2012年5月31日油色谱在线监测装置异常告警'],"('不需停电处理', 'D类修检', ['成功排除了一起750kV变电站重要设备的安全隐患', '严格按照制定的周期在线检测', '结合便携式色谱仪和实验室检测可准确判断设备缺陷的性质'])",13-新疆-油色谱在线监测发现750kV高压电抗器内部放电缺陷
变压器,绝缘油,绝缘油故障,['并对滤油后的绝缘油添加金属减活剂处理后油中金属铜含量降至0.1mg/kg'],"('需停电处理', 'B类修检', ['通过检测变压器油中金属铜含量可以有效的跟踪观测变压器绝缘状况', '及时检测并跟踪油中金属元素的含量变化', '有助于监视及准确判断变压器的潜伏隐患与故障所发生的部位变压器安装调试、吊罩检查、检修焊接等工作过程', '会增加油中的金属锡、铜等对运行中的变压器油要进行定期的跟踪检测', '为事故判断提供依据。对滤油处理后的变压器油进行跟踪监测', '掌握处理后油品质量'])",130-湖南-变压器油中金属含量检测发现110kV变压器绝缘下降
变压器,nan,故障,[],"('需停电处理', 'B类修检', [])",131-湖南-局部放电带电检测发现500kV主变套管末屏缺陷
变压器,套管,套管故障,"['主变本体及套管均无异常对该套管进行了精确测温', '并将此情况上报运检部对图谱认真分析后发现110kV侧B相套管引线处温度异常', '检修人员将变压器主体绝缘油放至套管端部以下以下', '致使发热\',""案例名称74-黑龙江-红外热像检测发现110kV变压器套管线夹过热']","('需停电处理', 'B类修检', ['处理后合。格主变压器引线线夹连接处过热', '线夹接触面氧化、螺栓紧固不够、弹簧垫使用年限过长导致压力不够', ""线夹紧固受力不均而引起局部过热刀闸不同期而引起的局部过热'结构不合理而引起的过热"", '成为状态检修的主要力量通过多年来大量红外热成像检测说明', '红外热成像检测技术能够在设备不停电的情况下能够及时有效的发现电力设备电压、电流过热而引起的过热缺陷并且积极有效协调、指导设备检修', '提高检修质量。确保电网的安全、稳定运行加强对主变压器线夹容易过热的部位加强检测对已发现处理的严重过热刀闸', '缩短检测周期对使用年限过长的弹簧垫、螺栓等及时加以更换加强对电压致热型设备的检测', '对同站同型号设备进行详细的横向对比分析通过案例可以看出红外检测在针对电压型、电流型过热故障的检测中具有非接触、快速等优势、在故障的分析中具有明确、直观等优势'])",132-山东-红外热像检测发现220kV变压器套管接头过热
变压器,套管,套管故障,"['对此对拍回来的变压器高压侧三相套管图谱进行分析', '发现高压套管上部与下部温度有4.7°差异', '怀疑是套管缺油根据DL/T664-2008《带电设备红外诊断应用规范》', '属于一般缺陷同时在检查该套管油位计时发现', '无法确定是油位计脏污导致无法看清或是套管缺油检修人员对高压侧套管油位计表面擦拭干净', '为验证套管内部是否有缺陷', '随后对该主变在运行了套管的绝缘电阻测量、套管的介质损耗和电容量测量、分接进行绕组直流电阻测量', '经检查发现套管内部长期滲漏油', '造成套管上部和下部的温度异常考虑到该变压器即将更换', '再次进行了套管的绝缘电阻测量、套管的介质损耗和电容量测量、分接进行绕组直流电阻测量', '在对变电站进行红外测温普检时发现1号主变220kV侧套管温差异常']","('需停电处理', 'B类修检', ['为状态性检修体制的推广和实施提供有力的技术支持'])",133-山东-红外热像检测发现220kV变压器高压套管缺油
变压器,nan,故障,"['，该发暗部位为其中一片散热片', '该发暗部位为其中一片散热片', '经红外测温图谱可以发现该片散热器与周围其它散热片有明显温度差', '可判断为该散热片运行异常', '烟台供电公司掖县变电站3号220kV主变压器2005年6月投入运行', '此为2005年3月山东电力设备厂生产的SF10-180000/220型变压器', '，2012年5月', '，在对变电站进行红外测温普检时发现3号主变220kV主变散热器异常', '在对变电站进行红外测温普检时发现3号主变220kV主变散热器异常']","('需停电处理', 'B类修检', ['对及时发现、处理、预防事故的发生可以起到重大作用对早期热故障缺陷的诊断有非常积极的作用', '能够准确判断设备具体发热部位。做为设备维护管理单位', '在加强监督力度', '对设备重点部位进行严格检查'])",134-山东-红外热像检测发现220kV变压器散热器发热
变压器,母线,母线故障,"['1号主变压器10kV封闭母线桥', '该母线桥是从室内穿墙套管至室内开关柜的部分', '母线整体进行了绝缘封包母线的每平方电流为0.7A', '10kV母线桥为东源电力设备有限公司在现场安装变压器时一起安装', '在对变电站进行红外测温普检时发现1号主变10kV封闭母线桥发热']","('需停电处理', 'A类修检', ['对及时发现、处理、预防事故的发生可以起到重大作用。对早期热故障缺陷的诊断有非常积极的作用'])",135-山东-红外热像检测发现110kV变压器10kV封闭母线桥发热
变压器,套管,套管故障,"['并对该套管进行了精确测温', '所示110kV侧B相套管端部温度异常']","('需停电处理', 'B类修检', ['导致过热导电接触面处理简单', '大量事实说明红外热成像检测技术能够行之有效的发现设备过热缺陷', '能够有效指导设备检修', '提高检修工作效率和质量导线与金具的连接采用液压方式', '避免由于螺栓强度不足造成接触面松动、压力下降对已发现处理的严重过热刀闸', '结合停电及时检查同期同类设备在刀闸检修工作过程中', '重点关注动、静触头的烧伤情况今后在刀闸选型时优先选择具有引弧装置并切实能够起到转移电流作用的设备避免设备多次操作以后出现触头烧损严重的情况。以上对设备检修工艺和质量提出了更高的要求', '保证检修质量', '而且在设备检修过程中对接头的处理将更具针对性'])",136-山东-红外热像检测发现110kV变压器套管过热
变压器,绝缘子,绝缘子故障,"['底部由8根支柱绝缘子支撑', '所示绝缘子下端通过镀锌扁钢连接后分别且呈发散式与主地网连接']","('需停电处理', 'B类修检', ['检修人员结合停电对其进行了检查处理。根据DL/T664-2008《带电设备红外诊断应用规范》的附表A.1', '因此我们认为这是一起因电抗器接地设计(施工)错误引起的严重缺陷,必须尽快停电进行检查处理电抗器绕组绝缘击穿导致匝间短路是产生过热的原因之一', '大量事实说明红外热成像检测技术能够行之有效的发现设备过热缺陷', '能够有效指导设备检修', '提高检修工作效率和质量户外电抗器增加防护罩防止日晒或雨淋', '避免接触面接触不良导致过热加强电抗器的运行维护工作,将查看电抗器表面是否有龟裂,通风通道是否有堵塞列入巡视内容', '定检时加强对电抗器通风通道的清扫和维护。以上对设备检修工艺和质量提出了更高的要求', '保证检修质量', '而且在设备检修过程中对电抗器的处理将更具针对性'])",137-山东-红外热像检测发现35kV干式空心电抗器过热
变压器,母线,母线故障,['对运行中的#2主变35kV绝缘管型母线测温显示'],"('需停电处理', 'A类修检', ['220kV香坊站基建工程施工安装工作主要集中在1、2月份', '对及时发现、处理、预防事故的发生可以起到重大作用对早期热故障缺陷的诊断有非常积极的作用', '能够准确判断设备具体发热部位。加强在大负荷或高温时段开展绝缘管母红外成像、红外测温专项检查巡视'])",138-山东-红外检测发现220kV香坊变电站2#主变35kV管母发热异常
变压器,nan,故障,"['并对该散热器进行了精确测温', '选择成像的角度、色度', '分别拍下了清晰的图谱', '，并将此情况上报运维检修部对图像认真分析发现该故障散热器温度与周围环境温度基本相同', '并将此情况上报运维检修部对图像认真分析发现该故障散热器温度与周围环境温度基本相同', '排除由于异物部分阻塞油路的可能', '认为是阀门未开启造成根据《国家电网变电一次设备标准缺陷库》相关规定定性为一般缺陷', '主变有停电任务时一并处理', '主变停电检修时发现存在故障的两组散热器上方的蝶阀指示位置与实际位置不一致', '投运时造成蝶阀位置误判', '蝶阀实际位置没有开启', '']","('需停电处理', 'B类修检', ['暂不处理', '结合主变停电时一并处理', '红外热成像检测技术不仅能够行之有效的发现设备的过热缺陷', '以便发现用肉眼不容易发现的设备缺陷红外热成像检测技术不仅能够发现设备的过热缺陷', '可以通过红外热成像检测技术辅助判断。制定制度对变电站内所有设备每年进行一次测温工作以及时发现由于非电、磁制热造成的设备运行缺陷'])",139-山东-红外热成像检测发现220kV泽头变电站主变压器散热器油路不通
变压器,本体,本体故障,"['发现220kV青年变电站1号主变本体温度异常', '热点明显；缺陷性质为严重缺陷通过对此次1号主变本体发热缺陷发现和及时处理情况来看']","('需停电处理', 'B类修检', ['应加强设备日常巡视维护工作', '利用停电机会进行设备清扫'])",14-新疆-红外在线监测系统发现红外在线监测发现220kV变压器过热缺陷
变压器,套管,套管故障,"['随即进行处理并对该套管进行了精确测温', '并将此情况上报运维检修部对图谱认真分析后发现#1主变35kV侧B相套管上端温度异常']","('不需停电处理', 'D类修检', ['尝试使用防止设备连接端子过热型紧固螺栓'])",140-山东-红外热像检测发现110kV崖头站#1主变中压侧套管过热
变压器,套管,套管故障,['变电运维室运行人员在巡视中发现XX站#2主变35kV侧B相管母靠近35kV穿墙套管连接处红外测温结果与A、C相相差较大随后XX站#2主变停电'],"('需停电处理', 'B类修检', ['公司安排设备厂家对其进行停电处理', '处理前变电检修室加强对管母发热部位的不定期巡视', '并做好故障处理应急预案', '随时对可能出现的设备故障进行处理。在电网设备红外检测工作中', '检测人员要对设备薄弱部位有所了解', '针对薄弱环节加强设备红外检测工作'])",141-山东-红外检测发现220kV主变35kV侧管母发热
变压器,套管,套管故障,['在分接开关及所连接的引线上未发现连接不良以及过热现象拆除C相高压套管进人检查'],"('需停电处理', 'B类修检', ['经过现场严格调试及适当维护', '是离线色谱检测的一个有效的补充手段在线监测是设备状态信息的重要来源', '应建立在线监测装置的入网检测制度。在电科院建设入网检测实验室', '不断完善检验检测手段', '同时制定相关入网检测制度'])",142-山东-油色谱在线监测发现220kV变压器过热
变压器,试验项目,试验项目故障,['其他试验项目正常4月16日下午'],"('需停电处理', 'C类修检', ['随将变压器停电进行进一步的检查和试验同时检查铁芯其他部位及A、C相线圈底部托板未发现异常油中溶解气体分析', '其检测有较强的敏感度', '能够有效发现其安装、运行、检修过程中的缺陷油中溶解气体分析对人员的专业水平要求较高', '因此检测人员的经验应丰富', '多角度、全方位进行排查'])",143-山东-油中溶解气体分析发现110kV主变压器裸金属过热
变压器,nan,故障,"['2013年5月20日', '潍坊供电公司电气试验人员在查看各站变压器油在线色谱监测数据时', '发现220kV仁和站#2主变在线色谱数据异常', '，增长迅速', '，且出现乙炔（0.8ml/l）', '，立即安排21日现场取样进行色谱分析', '立即安排21日现场取样进行色谱分析', '总烃升至369.7ml/l', '乙炔1.76ml/l', '变压器状态评价为严重状态公司组织有关人员反复认真分析试验数据', '，明确了缺陷部位在变压器高压侧C相调压绕组9分接引出线部分进一步检查后', '明确了缺陷部位在变压器高压侧C相调压绕组9分接引出线部分进一步检查后', '发现220kVC相调压绕组上部绕组9分接引出线接头与线夹之间基本不接触', '导致过热2013年5月20日', '，发现数据异常', '，烃类气体超标', '，增长迅速', '，且出现乙炔（0.8ml/l）分析色谱数据', '且出现乙炔分析色谱数据', '判断变压器内部存在高温过热性缺陷通过认真分析变压器内部结构和变压器各分接头直阻', '初步判断缺陷部位在变压器高压侧C相调压绕组9分接引出线部分将绕组与引线连接点绝缘剥开', '也未发现放电痕迹不带带分接开关测量8-9分节绕组直阻后', '确认了故障部位在220kVC相调压绕组上部绕组9分接电磁线与线夹之间', '与分析结果相同进一步检查后', '发现220kVC相调压绕组上部绕组9分接电磁线与线夹之间基本不接触', '导致过热图3绕组引线与电磁线压接图4电磁线从线夹中轻易抽出仁和站#2从发现缺陷后', '，制定的检修策略科学合理', '制定的检修策略科学合理', '，应结合停电试验进行进一步检查、试验', '应结合停电试验进行进一步检查、试验', '潍坊供电公司仁和站#2主变', '容量180000kVA', '，投运日期2005年。首先检查分接开关', '，未发现放电痕迹', '']","('需停电处理', 'B类修检', ['逐步查找故障部位及时', '由于检测及时', '检测有较强的敏感度', '能够有效的发现其安装、运行、检修过程中隐藏的缺陷油中溶解气体分析对人员的专业水平要求较高', '因此检测人员的经验应丰富', '有针对性的进行故障排查'])",144-山东-在线监测油中溶解气体分析发现220kV主变压器高温过热性缺陷
变压器,nan,故障,"['按照《DL/T1093-2008电力变压器绕组变形的电抗法检测判断导则》中的方法和要求', '该变压器在现场进行低电压阻抗试验时发现高中绕组对的低电压阻抗实测值横比超出2%的注意值', '套装A、C相高压绕组时', '在髙-中的主绝缘空道中各增加了1层1.5mm纸板将上述修正后的数据导入计算所得的结果与各绕组对的低电压阻抗实测值的规律基本一致另外', '从三维冲撞记录仪的数据来看', '变压器从工厂到现场的运输过程正常', '未出现不允许的冲撞和振动结合常规试验、局放等其他试验数据正常的情况来分析', '高压绕组不存在电气故障2)髙压线圈内径尺寸出现较大偏差的原因分析该变压器在检修前的低电压阻抗测试值显示高中绕组对中C-O加压时', '测得的低电压阻抗值与其他相的测试值横比偏差为2.018%在吊心检査时发现中压Cm相的个别换位位置出现一定的形变', '本次现场试验结果可作为今后同类试验纵向比较的基准数据', '山东省电力公司莱芜供电公司长勺变电站2号220kV主变压器2005年10月24日投入运行', '经山东电力研究院核算', '，于2013年3月14日返厂大修', '于2013年3月14日返厂大修']","('需停电处理', 'B类修检', ['半径尺寸会有所增大由于本次检修的方案未更换高压绕组', '这与检修前实测的数据。考虑到造成偏差的原因比较明确', '因此没必要再行更换高压线圈综上所述', '变压器需更换全部高压线圈。变压器绕组变形测试结果分析'])",145-山东-绕组变形试验发现220kV长勺站#2主变低电压阻抗超标
变压器,nan,故障,"['运检班组通过现场调查', '发现三相负载不平衡的现象确实存在', '需要进行负荷调整12月25日', '配电运检二班对10kV检察线轮胎招待所#1变公变的负荷进行了调整', '，三相负载不平衡率为21.7%', '三相负载不平衡率为21.7%', '满足规程的要求调整之后', '，测得配电变压器A、B、C三相的电流分别为225.3A、287.9A、236.8A', '测得配电变压器A、B、C三相的电流分别为225.3A、287.9A、236.8A', '三相电流不平衡率达到21.7%', '调整效果明显山东省智能配电网运行监控平台是基于营销的电力用户用电信息采集系统及其采集终端', '配电运检班组每天登陆系统', '通过该系统查看前一天配变负载情况和配电三相不平衡情况', '对发现问题要及时跟踪解决各配电运检班组按照配变负载率大小以及配变三相电流不平衡度的大小对辖区内公变进行电流实测并及时反馈实测数据', '对不平衡的台区进行调查研究', '，确定是否有必要进行调整。如需调整', '确定是否有必要进行调整', '则根据近期和同期的负荷曲线', '，2013年12月25日', '2013年12月25日', '，配电运检二班对10kV检察线轮胎招待所#1公变的负荷进行了调整', '配电运检二班对10kV检察线轮胎招待所#1公变的负荷进行了调整', '调整策略为B相负荷向A、C相各调整30A']","('需停电处理', 'B类修检', ['对发现的三相负载不平衡的公变进行负荷调整', '加强对配变三相电流不平衡情况的统计排查和跟踪治理工作。对有必要进行三相电流不平衡调整的台区'])",146-山东-山东省智能配电网运行监控平台在线监测系统发现10kV检察线轮胎招待所#1公变三相负载不平衡
变压器,套管,绝缘油油色谱分析不合格,"['2000年曾因漏磁产生的涡流导致的油化验异常和大盖法兰螺丝高温吊罩大修一次2011年3月', '通过油色谱分析发现该主变总烃增长迅速', '更换新变压器公司决定将油色谱分析周期缩短为一周一次；同时利用红外测温、铁芯接地电流测试、套管末屏电容电流测试、超声波局放监测技术来辅助进行综合分析发现带电测试数据没有明显变化', '认为该变压器套管和铁心应无异常']","('需停电处理', 'B类修检', ['利用变压器超声波局放检测进行定位', '造成油中溶解气体成分突变。状态检测组合技术方式分析对于变压器故障数据分析和检修决策起到了良好的辅助作用'])",147-山东-油色谱分析加变压器超声波局放发现并定位发现220kV变压器绝缘老化
变压器,套管,套管故障,"['B相出线套管引线接头发热', 'B相出线套管引线接头进行检查', '发现套管佛手与引线连接处压接紧密、无松动']","('需停电处理', 'B类修检', ['排除此处压接不紧密造成的发热1、施工单位施工质量不合格', '造成事故发生。做为设备维护班组', '大量事实说明红外热成像检测技术能够有效的发现设备过热缺陷'])",148-山东-红外热像检测发现220kV变压器套管过热
变压器,套管,套管故障,"['极II平波电抗器极母线侧套管持续放电', '且光子数明显高于极I与前两次极II平波电抗器极母线侧套管放电情况对比', '套管本次放电位置与前两次基本相同', '该套管存在异常为更好的分析异常放电原因', '国网公司和西变公司见证工作组在HSP公司见证了故障套管的解体解体分为两个阶段', '一是解体前故障套管的交、直流试验测试阶段；二是套管解体阶段交流试验电压取套管型式试验电压(928kV)的85%', '套管介损和电容值实测结果与出厂值相近为避免套管在直流试验时进一步破坏', '试验电压取套管运行电压553kV', '试验时间为1小时1)套管周围无杂物(图4', '径向解体范围达270度首先解体的部位为套管上部三分之一处', '四周呈现树枝状放电图10树脂桶内壁及绝缘填充物烧损、放电情况图11套管干式电容芯与上部导体连接部位对应放电烧蚀点放电弧根位于电容芯上法兰曲率半径较小一侧', '套管径向局部放电将130mm厚绝缘填充物全部贯穿', '对套管固体绝缘填充物进行切片分析', '对应放电点同样位于套管干式电容芯与上部导体连接部位法兰曲率半径较小一侧', '与前一放电点相差约150°套管内绝缘设计不合理是套管放电的根本原因套管周围的任何物体均会对套管场强产生影响', '但不至于导致套管放电HSP公司在套管设计时应充分考虑环境对套管的影响', '合成绝缘套管干弧距离为6644mm', '套管总长度9569mm', '内部环氧树脂筒、外部3节合成绝缘子护套粘接结构现场分别于17时55分、18时55分将极II、极I降压至350千伏运行2)在距离套管2.45米处放置高度为3.3米的针状接地体(针尖距套管1/3处距离为5.5米)(图5', '直流试验2)；将针状接地体距套管距离由2.45米移至3.95米', '高度不变(针尖距套管1/3处距离为6.5米)(图6', '在套管干式电容芯与上部导体连接部位', '其中一处位于套管上部铝制导电桶表面']","('不需停电处理', 'D类修检', ['但不排除套管内部仍存在其它放电点套管内部绝缘材料由内向外由绝缘发泡材料(厚度约13cm)、环氧树脂桶(厚度约1.5cm)、硅橡胶伞裙三部分构成'])",149-山西-紫外放电检测发现±500kV平波电抗器极母线侧套管异常放电
变压器,母线,故障,[],"('需停电处理', 'A类修检', ['可以排除C2被击穿的可能中间变压器一次绕组首端引线外敷绝缘纸烧坏', '固定绝缘件出现明显导电通路', '对检测导流设备接触不良等外在型过热缺陷容易判断', '对类似变电设备内部过热缺陷应结合设备结构综合判断处理', '测试时加强相间和同类型设备横向比较', '立即处理。今后应加强二次电压的监测,做到缺陷早发现早处理'])",15-河北-CVT过热缺陷-红外热像检测发现220kV CVT过热缺陷
变压器,套管,套管故障,"['环境温度5℃并对该套管进行了精确测温', '所示对图谱的认真分析后发现110kV侧B相套管端部温度异常', '随后使用分析软件更改色域后发现套管油位观察窗下侧内部有一道浅色的分界线', '上下两侧颜色不一致经核查证实该套管确实存在缺油缺陷认真建立红外热像图谱']","('需停电处理', 'B类修检', ['此事例说明红外热成像检测技术不仅能够行之有效的发现设备过热缺陷', '还能对套管缺油缺陷进行排查红外热像技术能够有效的检测出套管内部缺油的缺陷', '提高了运行、检修人员工作的安全。认真执行红外检测制度'])",150-山西-红外热像检测发现110kV变压器套管缺油
变压器,线夹,线夹故障,['现场打开桩头处的线夹检查发现'],"('不需停电处理', 'D类修检', ['但又不能完全排除', '鉴于检查该部分时要将110kV套管拆除', '同时又牵扯处理绝缘油', '因此本次暂不考虑现场处理', '因此本次在拆除将军帽后', '现场检查发现', '主变桩头在紧固后', '这就是打开线夹后表面氧化层较为明显的原因。对检修安装工艺了解深度不够', '因此在施工过程中认为螺栓紧固即可保证接触良好', '未对结合面进行检查', '紧固时人为影响因素较大', '使作业人员紧固后片面认为已经紧固', '结合红外热成像带电检测技术'])",151-山西-红外检测发现110kV主变高压侧套管线夹发热
变压器,套管,套管故障,"['判断是内部连接问题导致由右向左分别为A、B、C相套管', '所以三相套管温度均高', 'B相C相套管温度60℃左右', 'A相套管比其它两相套管高20℃红外热成像图中清晰发现']","('需停电处理', 'B类修检', ['该次缺陷发现到处理过程', '说明红外热成像检测技术能够行之有效的发现设备过热缺陷'])",152-山西-红外检测发现110kV主变低压侧套管发热
变压器,绝缘油,绝缘油故障,"['线圈外部绝缘已经被击穿对孝义变绝缘油色谱分析时', '送电后绝缘油色谱分析也一切正常']","('需停电处理', 'B类修检', ['遂立即进行处理判断是螺杆过长', '安装螺帽', '检测变压器内部是否发生电弧放电。加强油在线监测装置建设'])",153-山西-绝缘油色谱分析发现35kV变压器内部电弧放电
变压器,基础,基础故障,"['我们在以上理论分析的基础上对该变压器进行吊芯检查', '我们在以上理论分析的基础上对该变压器进行吊芯检查']","('不需停电处理', 'D类修检', ['建议吊芯检查从吊芯检查结果来看', '综合10kV各馈路的跳闸情况统计和电气试验数据、油气检测数据', '导致主变绕组高压侧引线与分接开关固定螺母间的绝缘距离发生改变', '为检修策略提供依据', '密切关注各类气体的产气速率及变化。通过开展变压器油色谱分析带电检测'])",154-山西-变压器油色谱分析发现35kV主变高压绕组引线对一螺杆顶端放电
变压器,nan,故障,"['2013年8月30-31日大修后取样发现总烃含量为322.73μL/L', '绝对产气速率为9.77ml/d<12ml/d,对比历史数据总烃含量增长比较大', '且高压试验各项数据正常', '建议无负荷运行并缩短试验周期跟踪分析1）根据不同故障类型的产气特征判断因为6.22ml/d<12ml/d', '所以其绝对产气速率未超过注意值2013年09月01日油中溶解气体试验总烃含量对比历史数据增长比较大', '对产气速率为9.77ml/d<12ml/d,且高压试验各项数据正常', '建议无负荷运行并缩短试验周期跟踪分析', '国网陕西省电力公司延安供电公司110kV安塞变电站1号主变压器1997年出厂', '于1998年投入运行']","('需停电处理', 'B类修检', ['油中溶解气体检测技术对人员的专业水平要求较高', '故障类型判断要准确。油中溶解气体检测技术对变压器类设备的变压器油中气体含量有较强的敏感度'])",155-山西-油中溶解气体试验发现110kV安塞变电站1号主变总烃超标
变压器,套管,绝缘油油色谱分析不合格,"['检测和复测均发现A相油中含有微量乙炔陕送对1#主变三相进行了相关常规试验项目', '包括测量绕组连同套管的直流电阻；测量与铁芯绝缘的各紧固件及铁芯绝缘电阻；测量绕组连同套管的绝缘电阻、吸收比或极化指数；测量绕组连同套管的介质损耗角正切值tanδ及套管电容值；测量泄漏电流值10月25日', '决定放油进箱检查1）无载开关分接引线绝缘及其与开关的接触均正常2）检查低压引线绝缘及其与套管尾部连接、均压球等部分均正常3）检查高压、中压引线绝缘部分均正常4）主柱上下两端16个磁分路接地情况正常5）上下夹件及高低压侧等电位连线接地情况正常陕西电力科学研究院材料技术研究所对宝鸡750变电站1号主变A相变压器调压柱器身下端垫板中的屏蔽棒接地铜皮进行了分析利用油色谱在线监测数据判断设备运行状态时']","('需停电处理', 'B类修检', ['经分析认为该屏蔽棒接地铜皮在安装时即存在损伤'])",156-山西-主变油在线监测监测发现750kV宝鸡变1号主变A相材质缺陷
